paper_id,cited_dataset,title,abstract,year,url,citation_count,is_open_access,venue,fields_of_study,publication_types,journal,authors,external_ids,doi,arxiv_id,pubmed_id,evaluation_metrics
5ed94b8dfaa673ea1d9ebc852c4b2f990bf13220,DDSM,Fine-tuning pre-trained networks with emphasis on image segmentation: A multi-network approach for enhanced breast cancer detection,,2025.0,https://www.semanticscholar.org/paper/5ed94b8dfaa673ea1d9ebc852c4b2f990bf13220,2,False,Engineering applications of artificial intelligence,Computer Science,JournalArticle,"{'volume': '139', 'pages': '109666', 'name': 'Eng. Appl. Artif. Intell.'}","Parviz Ghafariasl, Masoomeh Zeinalnezhad, Shing Chang","{'DBLP': 'journals/eaai/GhafariaslZC25', 'DOI': '10.1016/j.engappai.2024.109666', 'CorpusId': 274160235}",10.1016/j.engappai.2024.109666,,,PPR
d89d3e20dbcae06b1c671045778e5ff99dc67ac0,"BancoWeb, CBIS-DDSM, DDSM, INbreast, OPTIMAM",Towards precision medicine in breast imaging: A novel open mammography database with tailor-made 3D image retrieval for AI and teaching,,2024.0,https://www.semanticscholar.org/paper/d89d3e20dbcae06b1c671045778e5ff99dc67ac0,1,False,Comput. Methods Programs Biomed.,"Medicine, Computer Science",JournalArticle,"{'volume': '248', 'pages': '\n          108117\n        ', 'name': 'Computer methods and programs in biomedicine'}","N. Cordeiro, G. Facina, A. Nazário, V. Sanvido, Joaquim Teodoro Araujo Neto, Ernandez Rodrigues dos Santos, M. Silva, S. Elias","{'DBLP': 'journals/cmpb/CordeiroFNSNSSE24', 'DOI': '10.1016/j.cmpb.2024.108117', 'CorpusId': 268234125, 'PubMed': '38498955'}",10.1016/j.cmpb.2024.108117,,38498955.0,precision
7865588bc380ad155cc854591bf93cc4d23ac332,"DDSM, INbreast",MSA-GCN: A Multi-information Selection Aggregation Graph Convolutional Network for Breast Tumor Grading,"Physicians typically combine multi-modal data to make a graded diagnosis of breast tumors. However, most existing breast tumor grading methods rely solely on image information, resulting in limited accuracy in grading. This paper proposes a Multi-information Selection Aggregation Graph Convolutional Networks (MSA-GCN) for breast tumor grading. Firstly, to fully utilize phenotypic data reflecting the clinical and pathological characteristics of tumors, an automatic combination screening and weight encoder is proposed for phenotypic data, which can construct a population graph with improved structural information. Then, a graph structure is designed through similarity learning to reflect the correlation between patient image features. Finally, a multi-information selection aggregation mechanism is employed in the graph convolution model to extract the effective features of multi-modal data and enhance the classification performance of the model. The proposed method is evaluated on different clinical datasets from the Digital Database for Screening Mammography (DDSM) and INbreast. The average classification accuracies are 90.74% and 85.35%, respectively, surpassing the performance of existing methods. In conclusion, our method effectively fuses image and non-image information, leading to a significant improvement in the accuracy of breast tumor grading.",2023.0,https://www.semanticscholar.org/paper/7865588bc380ad155cc854591bf93cc4d23ac332,1,True,IEEE journal of biomedical and health informatics,"Medicine, Computer Science",JournalArticle,"{'volume': '27', 'pages': '5994-6005', 'name': 'IEEE Journal of Biomedical and Health Informatics'}","Kang Li, Suya Han, Lei Yang, Zizhao Sun, Zhan Yu, Hongwei Xu, Ling Ma, Jianbo Gao, Huiqin Jiang","{'DBLP': 'journals/titb/LiHYSYXMGJ23', 'DOI': '10.1109/JBHI.2023.3327755', 'CorpusId': 264516871, 'PubMed': '37883253'}",10.1109/JBHI.2023.3327755,,37883253.0,accuracy
6dc294f6c42560ba0677928c57615eb21e7b2db3,DDSM,A new method to improve the efficiency and accuracy of incremental singular value decomposition,"Singular value decomposition (SVD) has been widely used in machine learning. It lies at the root of data analysis, and it provides the mathematical basis for many data mining techniques. Recently, interest in incremental SVD has been on the rise because it is well suited to streaming data. In this paper, we propose a new algorithm of incremental SVD that is designed to improve both efficiency and accuracy during computation. More specifically, our proposed algorithm takes advantage of the special structures of arrowhead and diagonal-plus-rank-one matrices involved in updating SVD models to expedite the updating process. Moreover, because the singular values are computed independently, the proposed method can be easily parallelized. In addition, as this paper shows, increasing rank can lead to more accurate singular values in the updating process. Experimental results from synthetic and real data sets demonstrate gains in efficiency and accuracy in the updating process.",2023.0,https://www.semanticscholar.org/paper/6dc294f6c42560ba0677928c57615eb21e7b2db3,0,True,The Electronic Journal of Linear Algebra,,JournalArticle,{'name': 'The Electronic Journal of Linear Algebra'},"Hansi Jiang, A. Chaudhuri","{'DOI': '10.13001/ela.2023.7325', 'CorpusId': 259609985}",10.13001/ela.2023.7325,,,"ROC, accuracy"
01c89735a11c5bbe7880700aafd46be278b67869,DDSM,Classification of Mammography Images Using Deep-CNN based Feature Ensemble Approach and its Implementation on a Low-Cost Raspberry Pi,.,2023.0,https://www.semanticscholar.org/paper/01c89735a11c5bbe7880700aafd46be278b67869,3,True,International Journal of Computing and Digital Systems,,JournalArticle,{'name': 'International Journal of Computing and Digital Systems'},"Aarti Bokade, Ankit Shah","{'DOI': '10.12785/ijcds/1301117', 'CorpusId': 259070198}",10.12785/ijcds/1301117,,,PPR
606bb7b28e27f331c29dd4f819337c07940fab5a,DDSM,An overview on Meta-learning approaches for Few-shot Weakly-supervised Segmentation,,2023.0,https://www.semanticscholar.org/paper/606bb7b28e27f331c29dd4f819337c07940fab5a,19,False,Computers & graphics,Computer Science,"JournalArticle, Review","{'volume': '113', 'pages': '77-88', 'name': 'Comput. Graph.'}","P. H. Gama, H. Oliveira, J. D. Santos, R. M. C. Junior","{'DBLP': 'journals/cg/GamaOSC23', 'DOI': '10.2139/ssrn.4374390', 'CorpusId': 257303673}",10.2139/ssrn.4374390,,,PPR
a733f1174fef908f483e4a4faf1985b70bdb6889,"CBIS-DDSM, DDSM, MIAS",Transfer Learning Assisted Classification of Artefacts Removed and Contrast Improved Digital Mammograms,"Mammograms are essential radiological images used to diagnose breast cancer well in advance. However, an accurate diagnosis also depends on the quality of mammogram images. Therefore, removal of artefacts and mammogram enhancement are necessary pre-processing steps. Artefact removal helps exclude unsolicited regions in the mammograms and limits the search for suspicious regions without excessive impact from the background. Mammogram enhancements improve apparent visual details and improve some features of an image. In this paper, we propose a method for mammogram pre-processing. These pre-processed mammograms are then fed into Deep Convolutional Neural Network for the classification process. Two approaches are used and compared to classify mammograms; Training model from scratch and Transfer Learning. Transfer Learning is an excellent approach to dealing with the small-sized training set, allowing us to consume the extendibility of deep learning entirely. By employing VGG16 as a pre-trained network on the pre-processed MIAS dataset, we improved training accuracy (96.14\%) compared to the model developed from scratch and other strategies described in the literature. ",2022.0,https://www.semanticscholar.org/paper/a733f1174fef908f483e4a4faf1985b70bdb6889,4,True,Scalable Computing : Practice and Experience,Computer Science,JournalArticle,"{'volume': '23', 'pages': '115-127', 'name': 'Scalable Comput. Pract. Exp.'}","P. Oza, Paawan Sharma, Samir B. Patel","{'DBLP': 'journals/scpe/OzaSP22a', 'DOI': '10.12694/scpe.v23i3.1992', 'CorpusId': 252928508}",10.12694/scpe.v23i3.1992,,,"PPR, ROC, accuracy"
13e4f7e8edb60b8d11281c7feb90a5c4edaed72e,DDSM,Breast cancer detection in digital mammography using phase features and machine learning approach,,2022.0,https://www.semanticscholar.org/paper/13e4f7e8edb60b8d11281c7feb90a5c4edaed72e,2,False,Optical Engineering + Applications,Engineering,,"{'volume': '12227', 'pages': '122270S - 122270S-6'}","J. Diaz-Escobar, V. Kober, A. Díaz-Ramírez","{'DOI': '10.1117/12.2632184', 'CorpusId': 251701263}",10.1117/12.2632184,,,PPR
3094ce9f2bc6c5577e5d8ca2cb286b37e565ad1a,DDSM,High Precision Mammography Lesion Identification From Imprecise Medical Annotations,"Breast cancer screening using Mammography serves as the earliest defense against breast cancer, revealing anomalous tissue years before it can be detected through physical screening. Despite the use of high resolution radiography, the presence of densely overlapping patterns challenges the consistency of human-driven diagnosis and drives interest in leveraging state-of-art localization ability of deep convolutional neural networks (DCNN). The growing availability of digitized clinical archives enables the training of deep segmentation models, but training using the most widely available form of coarse hand-drawn annotations works against learning the precise boundary of cancerous tissue in evaluation, while producing results that are more aligned with the annotations rather than the underlying lesions. The expense of collecting high quality pixel-level data in the field of medical science makes this even more difficult. To surmount this fundamental challenge, we propose LatentCADx, a deep learning segmentation model capable of precisely annotating cancer lesions underlying hand-drawn annotations, which we procedurally obtain using joint classification training and a strict segmentation penalty. We demonstrate the capability of LatentCADx on a publicly available dataset of 2,620 Mammogram case files, where LatentCADx obtains classification ROC of 0.97, AP of 0.87, and segmentation AP of 0.75 (IOU = 0.5), giving comparable or better performance than other models. Qualitative and precision evaluation of LatentCADx annotations on validation samples reveals that LatentCADx increases the specificity of segmentations beyond that of existing models trained on hand-drawn annotations, with pixel level specificity reaching a staggering value of 0.90. It also obtains sharp boundary around lesions unlike other methods, reducing the confused pixels in the output by more than 60%.",2021.0,https://www.semanticscholar.org/paper/3094ce9f2bc6c5577e5d8ca2cb286b37e565ad1a,1,True,Frontiers in Big Data,"Computer Science, Medicine",JournalArticle,"{'volume': '4', 'name': 'Frontiers in Big Data'}","Ulzee An, Ankit Bhardwaj, K. Shameer, L. Subramanian","{'DBLP': 'journals/fdata/AnBSS21', 'PubMedCentral': '8716325', 'DOI': '10.3389/fdata.2021.742779', 'CorpusId': 244841461, 'PubMed': '34977563'}",10.3389/fdata.2021.742779,,34977563.0,"ROC, precision, specificity"
baa6ba327c0f11973e771364e90d3616e79abe3f,DDSM,Federated Learning in Computer Vision,"Federated Learning (FL) has recently emerged as a novel machine learning paradigm allowing to preserve privacy and to account for the distributed nature of the learning process in many real-world settings. Computer vision tasks deal with huge datasets often with critical privacy issues, therefore many federated learning approaches have been presented to exploit its distributed and privacy-preserving nature. Firstly, this paper introduces the different FL settings used in computer vision and the main challenges that need to be tackled. Then, it provides a comprehensive overview of the different strategies used for FL in vision applications and presents several different approaches for image classification, object detection, semantic segmentation and for focused settings in face recognition and medical imaging. For the various approaches the considered FL setting, the employed data and methodologies and the achieved results are thoroughly discussed.",2023.0,https://www.semanticscholar.org/paper/baa6ba327c0f11973e771364e90d3616e79abe3f,4,True,IEEE Access,Computer Science,"JournalArticle, Review","{'volume': '11', 'pages': '94863-94884', 'name': 'IEEE Access'}","Donald Shenaj, Giulia Rizzoli, P. Zanuttigh","{'DBLP': 'journals/access/ShenajRZ23', 'DOI': '10.1109/ACCESS.2023.3310400', 'CorpusId': 261407411}",10.1109/ACCESS.2023.3310400,,,"PPR, ROC"
50bc2a50159d3dca70799bda18b5b20cac4f4539,DDSM,Using a Genetic Algorithm to Update Convolutional Neural Networks for Abnormality Classification in Mammography,": The processing of medical imaging studies is a costly and error-prone task. The use of deep learning algorithms for the automated classification of abnormalities can aid radiologists in interpreting medical images. This paper presents a genetic algorithm that is used to fine-tune the internal parameters of convolutional neural networks trained for abnormality classification in mammographic imaging. We used our genetic algorithm to search for the neural network weights representing the global minimum solution for ResNet50 and Xception architectures. The Xception architecture outperformed the ResNet baseline for both tasks, with the Xception baseline model achieving an AUC score of 72%. The genetic algorithm demonstrated a slight proclivity for improving the general metric evaluations of the network that it fine-tuned, but in some cases, it was still prone to miss good regions in the search space.",2023.0,https://www.semanticscholar.org/paper/50bc2a50159d3dca70799bda18b5b20cac4f4539,0,True,International Conference on Pattern Recognition Applications and Methods,Computer Science,JournalArticle,{'pages': '790-797'},"Steven Wessels, Dustin van der Haar","{'DBLP': 'conf/icpram/WesselsH23', 'DOI': '10.5220/0011648500003411', 'CorpusId': 257356089}",10.5220/0011648500003411,,,"AUC, ROC"
dc074baff59e7842e69489564882dbcbf95e1bb9,DDSM,Mammograms enhancement based on multifractal measures for microcalcifications detection,,2023.0,https://www.semanticscholar.org/paper/dc074baff59e7842e69489564882dbcbf95e1bb9,0,False,International Journal of Biomedical Engineering and Technology,,,{'name': 'International Journal of Biomedical Engineering and Technology'},"M. Messadi, Nadia Kermouni Serradj, Sihem Lazzouni","{'DOI': '10.1504/ijbet.2023.10053531', 'CorpusId': 256136143}",10.1504/ijbet.2023.10053531,,,ROC
37c24f349d3d51444c895f939e9b885025fb50fd,"CBIS-DDSM, DDSM",Two-Stage Approach for Semantic Image Segmentation of Breast Cancer: Deep Learning and Mass Detection in Mammographic Images,,2023.0,https://www.semanticscholar.org/paper/37c24f349d3d51444c895f939e9b885025fb50fd,1,False,International Workshop on Informatics & Data-Driven Medicine,Computer Science,JournalArticle,{'pages': '62-76'},"Fayçal Touazi, Djamel Gaceb, Marouane Chirane, Selma Hrzallah","{'DBLP': 'conf/iddm/TouaziGCH23', 'CorpusId': 266874021}",,,,PPR
